	semaine	prop_C0	prop_A1
1045	2021-12-02	3.1672183949181356	0.026840833855238437
1046	2021-12-03	3.1724853606107777	0.022237046920169
1047	2021-12-04	3.058710825236075	0.047899274668126456
1048	2021-12-05	3.038361811049797	0.04653945881257895
1049	2021-12-06	3.373231773667029	0.04836174585902551
1050	2021-12-07	4.133690144052839	0.03985651654045436
1051	2021-12-08	4.937664041994751	0.06561679790026247
1052	2021-12-09	5.7776373308052875	0.06846789908885026
1053	2021-12-10	6.302974264139313	0.07705347511172754
1054	2021-12-11	6.865337672904801	0.061025223759153785
1055	2021-12-12	7.269105026563139	0.06640784634246015
1056	2021-12-13	10.279723754161077	0.06458985442440503
1057	2021-12-14	13.71478701627839	0.06335900185203236
1058	2021-12-15	18.199414597299594	0.04720989519403267
1059	2021-12-16	22.726649293649704	0.03200292598180405
1060	2021-12-17	27.557181261293024	0.19831651315499538
1061	2021-12-18	30.419218493918745	0.2415250582247908
1062	2021-12-19	31.565688911660477	0.24337133341872677
1063	2021-12-20	40.41309135089984	0.28096286733996506
1064	2021-12-21	51.547535622518105	0.4146227516935295
1065	2021-12-22	59.92560417725613	0.3812208308303683
1066	2021-12-23	66.13822052319917	0.3710366539239937
1067	2021-12-24	70.23508742575086	0.331297582196938
1068	2021-12-25	71.50195819134326	0.3424715596019192
1069	2021-12-26	72.2629179081137	0.34897693789198175
1070	2021-12-27	77.85024003990274	0.28555396221709584
1071	2021-12-28	82.2588155611057	0.19260889810777632
1072	2021-12-29	85.37211533036168	0.1579867968176945
1073	2021-12-30	87.83246792258508	0.1270222718104965
1074	2021-12-31	89.40632489529789	0.09199260831322677
1075	2022-01-01	89.56979313115083	0.07873066880899779
1076	2022-01-02	89.821536600121	0.06845607667080587
1077	2022-01-03	91.78279751101893	0.05347420274824993
1078	2022-01-04	92.90051497527607	0.08198611360200866
1079	2022-01-05	93.77261006319011	0.08784275202841194
1080	2022-01-06	94.60601328441702	0.10589028055576354
1081	2022-01-07	95.18239330777924	0.1083524600668756
1082	2022-01-08	95.3259838250576	0.10504676275245109
1083	2022-01-09	95.37611028867505	0.10871576609918579
1084	2022-01-10	96.13635426828431	0.12503263214300436
1085	2022-01-11	96.61634816123333	0.11723141159466838
1086	2022-01-12	97.00346490693504	0.1375515818431912
1087	2022-01-13	97.46670392102077	0.11548849771817081
1088	2022-01-14	97.92842235448713	0.12174383551055114
1089	2022-01-15	98.11751946391912	0.12201262733857536
1090	2022-01-16	98.17763209240616	0.12097088894091938
1091	2022-01-17	98.42926995034831	0.11516169835186618
1092	2022-01-18	98.81178530189592	0.07263381383394793
1093	2022-01-19	98.99175569184851	0.06915755182266548
1094	2022-01-20	99.08608016024895	0.0715397134834475
1095	2022-01-21	99.1519297565104	0.07052559197418763
1096	2022-01-22	99.19731851459822	0.07056540531004675
1097	2022-01-23	99.19793604549125	0.07020253431148865
1098	2022-01-24	99.27617315896217	0.09441219665710888
1099	2022-01-25	99.32321428571429	0.09107142857142857
1100	2022-01-26	99.39140499570622	0.09707650375238024
1101	2022-01-27	99.42872687704026	0.10687082232240012
1102	2022-01-28	99.4686089454247	0.11694706606483381
1103	2022-01-29	99.48248069907525	0.12089590226520742
1104	2022-01-30	99.49310053506055	0.12347551069037974
